"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SOCEXP","PUB","PC_GDP","A","2018",16.638,
"AUS","SOCEXP","PUB","PC_GDP","A","2019",20.451,
"AUT","SOCEXP","PUB","PC_GDP","A","2018",27.561,
"AUT","SOCEXP","PUB","PC_GDP","A","2019",27.708,
"AUT","SOCEXP","PUB","PC_GDP","A","2020",31.108,
"AUT","SOCEXP","PUB","PC_GDP","A","2021",31.061,
"AUT","SOCEXP","PUB","PC_GDP","A","2022",29.356,
"BEL","SOCEXP","PUB","PC_GDP","A","2018",28.355,
"BEL","SOCEXP","PUB","PC_GDP","A","2019",28.218,
"BEL","SOCEXP","PUB","PC_GDP","A","2020",32.28,
"BEL","SOCEXP","PUB","PC_GDP","A","2021",29.705,
"BEL","SOCEXP","PUB","PC_GDP","A","2022",28.965,
"CAN","SOCEXP","PUB","PC_GDP","A","2018",18.004,
"CAN","SOCEXP","PUB","PC_GDP","A","2019",18.784,
"CAN","SOCEXP","PUB","PC_GDP","A","2020",24.911,
"CZE","SOCEXP","PUB","PC_GDP","A","2018",19.095,
"CZE","SOCEXP","PUB","PC_GDP","A","2019",19.459,
"CZE","SOCEXP","PUB","PC_GDP","A","2020",22.619,
"CZE","SOCEXP","PUB","PC_GDP","A","2021",22.496,
"CZE","SOCEXP","PUB","PC_GDP","A","2022",22.012,
"DNK","SOCEXP","PUB","PC_GDP","A","2018",28.534,
"DNK","SOCEXP","PUB","PC_GDP","A","2019",28.436,
"DNK","SOCEXP","PUB","PC_GDP","A","2020",29.347,
"DNK","SOCEXP","PUB","PC_GDP","A","2021",28.273,
"DNK","SOCEXP","PUB","PC_GDP","A","2022",26.164,
"FIN","SOCEXP","PUB","PC_GDP","A","2018",29.353,
"FIN","SOCEXP","PUB","PC_GDP","A","2019",29.419,
"FIN","SOCEXP","PUB","PC_GDP","A","2020",31,
"FIN","SOCEXP","PUB","PC_GDP","A","2021",30.342,
"FIN","SOCEXP","PUB","PC_GDP","A","2022",29.02,
"FRA","SOCEXP","PUB","PC_GDP","A","2018",30.989,
"FRA","SOCEXP","PUB","PC_GDP","A","2019",30.739,
"FRA","SOCEXP","PUB","PC_GDP","A","2020",34.876,
"FRA","SOCEXP","PUB","PC_GDP","A","2021",32.661,
"FRA","SOCEXP","PUB","PC_GDP","A","2022",31.633,
"DEU","SOCEXP","PUB","PC_GDP","A","2018",25.296,
"DEU","SOCEXP","PUB","PC_GDP","A","2019",25.59,
"DEU","SOCEXP","PUB","PC_GDP","A","2020",27.938,
"DEU","SOCEXP","PUB","PC_GDP","A","2021",27.639,
"DEU","SOCEXP","PUB","PC_GDP","A","2022",26.722,
"GRC","SOCEXP","PUB","PC_GDP","A","2018",25.025,
"GRC","SOCEXP","PUB","PC_GDP","A","2019",25.082,
"GRC","SOCEXP","PUB","PC_GDP","A","2020",27.86,
"GRC","SOCEXP","PUB","PC_GDP","A","2021",26.1,
